QKEY	F_RACETHN_RECRUITMENT	THERMO2_THERMTRUMP_W23	VALIDATED_VOTER_2016_W23	COMPORT_W23	WEIGHT_W23
100197	1	0	1	1	0.1066898
100252	1	40	0	3	2.133798
100260	1	100	1	1	0.3000223
100314	1	100	1	1	0.2565837
100363	1	45	1	1	1.6485855
100446	4	40	1	1	0.100563
100514	1	100	0	3	2.3828248
100588	3	30	1	1	1.5121029
100598	1	25	1	1	0.4872934
100637	1	75	1	1	0.4245642
100734	1	0	1	1	0.1702972
100803	1	90	1	1	0.7583865
101224	1	100	1	1	0.332703
101322	1	90	0	2	3.0938474
101400	1	30	1	1	0.2811668
101437	1	95	1	1	0.36828
101443	1	65	1	1	0.2188586
101472	1	50	1	1	0.1371898
101485	4	80	1	1	0.3256706
101493	3	10	1	1	0.96139
102009	1	0	1	1	0.1021007
102130	4	45	1	1	0.4050754
102198	1	50	0	3	0.8497325
102351	1	100	1	1	0.7372036
102584	1	0	1	1	0.315536
102782	9	0	1	1	0.1850779
102932	1	51	1	1	0.0666424
103060	1	0	1	1	0.2334481
103242	1	50	1	1	1.0258911
103256	1	90	1	1	0.3755789
103406	1	0	1	1	0.3357627
103414	1	5	1	1	2.5420044
103519	1	15	NA	NA	0.1547323
103538	1	50	1	1	0.8650438
103611	1	80	1	1	0.1118975
103677	1	90	1	1	0.2538238
103871	4	0	1	1	4.5038156
103897	1	15	1	1	0.1174147
103956	1	0	1	1	0.5429879
104210	1	0	1	1	2.2907456
104272	1	0	0	3	0.3892596
104368	1	30	1	1	1.0245004
104417	1	5	1	1	0.1485692
104491	1	0	1	1	0.3374726
104689	1	0	1	1	0.1572599
104727	1	50	1	1	1.4960775
104937	1	0	1	1	0.2350304
105124	1	60	1	1	0.1647997
105205	1	100	1	1	0.1801034
105269	1	15	1	1	0.6991323
105857	1	55	1	1	0.1336365
105867	1	95	1	1	1.2060713
105959	1	0	1	1	0.1094458
106068	1	0	1	1	0.062755
106180	1	90	1	1	0.2842915
106297	1	0	1	1	0.3837951
106444	1	0	1	1	0.6594401
106590	1	75	1	1	0.2258065
106613	2	0	1	1	0.9766034
106885	3	100	1	1	0.3400331
106951	1	100	1	1	0.8456903
106960	1	45	1	1	0.8836942
107017	1	90	1	1	0.5174814
107023	2	5	1	1	0.2235528
107087	1	100	1	1	0.1525551
107268	1	75	1	1	0.3134523
107329	2	0	1	1	0.5165665
107612	2	0	1	1	0.1891143
107668	1	70	1	1	0.1270922
108035	4	85	1	1	1.2378942
108169	1	0	1	1	0.2096761
108348	1	75	1	1	0.3389812
108435	1	70	1	1	1.0638461
108447	1	90	1	1	0.4238852
108592	2	0	1	1	0.1403566
108909	1	50	0	2	3.5583156
109143	1	100	1	1	0.8000417
109188	1	10	1	1	0.0892804
109285	1	2	1	1	0.1046875
109319	1	45	1	1	0.6572757
109987	9	30	1	1	0.2209792
110041	1	90	1	1	0.1394545
110129	1	90	1	1	0.3257607
110261	1	50	1	1	1.2379733
110353	1	100	1	1	0.174655
110361	1	0	1	1	0.1429354
110550	1	100	0	3	0.2117472
111142	1	60	1	1	0.2007228
111646	1	30	1	1	0.6601575
111665	3	0	1	1	8.3768405
111884	2	10	1	1	0.0991963
111927	1	50	1	1	0.3708357
112090	1	5	0	2	0.2506814
112238	1	70	1	1	0.7452653
112371	3	75	1	1	2.0142678
112490	1	50	1	1	0.2325702
112495	1	3	0	3	0.0951083
112517	1	50	1	1	0.189098
112613	1	95	1	1	0.1328178
112715	1	35	1	1	0.062755
112984	1	0	0	3	0.1518505
113248	2	50	0	3	0.2571569
113274	4	55	1	1	2.5968325
113412	1	100	1	1	0.5814895
113565	1	60	1	1	0.3072678
114058	1	0	1	1	0.2618166
114190	1	5	NA	NA	0.2374281
114197	1	100	1	1	4.1627573
114473	1	75	1	1	0.2247715
114671	1	90	1	1	0.1308858
114797	1	30	1	1	0.3008446
114898	1	75	1	1	0.176285
114940	1	5	1	1	0.1766612
114970	1	0	1	1	0.2090723
115295	2	50	0	3	0.2395691
115546	1	6	1	1	0.1761381
115568	1	0	1	1	0.1474416
115650	1	0	1	1	0.1271036
115807	1	100	1	1	0.1876522
115973	1	0	1	1	0.2374281
116151	1	100	1	1	0.9442337
116182	1	100	1	1	0.6756043
116264	1	100	1	1	0.3626979
116313	1	10	1	1	1.9431175
116422	1	30	1	1	0.2130548
116439	1	75	1	1	0.1009579
116591	1	75	0	2	3.5806021
116617	1	0	1	1	0.1882725
116832	1	85	1	1	0.1401855
116861	1	75	1	1	0.2042149
116998	2	0	1	1	0.1954187
117214	1	0	1	1	1.0898106
117292	1	60	1	1	0.286193
117395	1	0	1	1	0.0759738
118060	1	90	1	1	0.9373712
118110	1	80	1	1	6.9016077
118128	1	0	0	3	0.7407942
118218	1	20	1	1	1.9742701
118242	3	89	1	1	0.1845277
118414	1	100	1	1	1.6053695
118423	1	0	1	1	0.10782
118847	1	0	1	1	0.1173188
118888	1	0	1	1	0.2759484
119121	1	20	1	1	0.4287866
119128	1	70	1	1	0.2042149
119392	1	75	0	3	0.5215498
119548	1	80	1	1	0.2414388
119714	1	30	1	1	0.2091071
119910	1	5	1	1	0.2487409
119995	1	10	1	1	0.3554351
120118	1	80	1	1	0.6003492
120343	1	80	1	1	0.7512387
120371	1	10	1	1	0.062755
